home_id,day,ts,p_cons,p_prod,p_tot
CDB001,2021-05-01,2021-05-01 00:00:00,180.0,0.0,180.0
CDB001,2021-05-01,2021-05-01 00:15:00,175.0,0.0,175.0
CDB001,2021-05-01,2021-05-01 00:30:00,231.0,0.0,231.0
CDB001,2021-05-01,2021-05-01 00:45:00,242.0,0.0,242.0
CDB001,2021-05-01,2021-05-01 01:00:00,267.0,0.0,267.0
CDB001,2021-05-01,2021-05-01 01:15:00,83.0,0.0,83.0
CDB001,2021-05-01,2021-05-01 01:30:00,85.0,0.0,85.0
CDB001,2021-05-01,2021-05-01 01:45:00,94.0,0.0,94.0
CDB001,2021-05-01,2021-05-01 02:00:00,240.0,0.0,240.0
CDB001,2021-05-01,2021-05-01 02:15:00,266.0,0.0,266.0
CDB001,2021-05-01,2021-05-01 02:30:00,185.0,0.0,185.0
CDB001,2021-05-01,2021-05-01 02:45:00,125.0,0.0,125.0
CDB001,2021-05-01,2021-05-01 03:00:00,80.0,0.0,80.0
CDB001,2021-05-01,2021-05-01 03:15:00,84.0,0.0,84.0
CDB001,2021-05-01,2021-05-01 03:30:00,108.0,0.0,108.0
CDB001,2021-05-01,2021-05-01 03:45:00,185.0,0.0,185.0
CDB001,2021-05-01,2021-05-01 04:00:00,178.0,0.0,178.0
CDB001,2021-05-01,2021-05-01 04:15:00,174.0,0.0,174.0
CDB001,2021-05-01,2021-05-01 04:30:00,202.0,0.0,202.0
CDB001,2021-05-01,2021-05-01 04:45:00,160.0,0.0,160.0
CDB001,2021-05-01,2021-05-01 05:00:00,167.0,0.0,167.0
CDB001,2021-05-01,2021-05-01 05:15:00,117.0,0.0,117.0
CDB001,2021-05-01,2021-05-01 05:30:00,185.0,0.0,185.0
CDB001,2021-05-01,2021-05-01 05:45:00,177.0,0.0,177.0
CDB001,2021-05-01,2021-05-01 06:00:00,174.0,0.0,174.0
CDB001,2021-05-01,2021-05-01 06:15:00,138.0,0.0,138.0
CDB001,2021-05-01,2021-05-01 06:30:00,79.0,5.0,85.0
CDB001,2021-05-01,2021-05-01 06:45:00,78.0,-5.0,74.0
CDB001,2021-05-01,2021-05-01 07:00:00,95.0,-36.0,59.0
CDB001,2021-05-01,2021-05-01 07:15:00,188.0,-62.0,126.0
CDB001,2021-05-01,2021-05-01 07:30:00,204.0,-81.0,123.0
CDB001,2021-05-01,2021-05-01 07:45:00,376.0,-101.0,275.0
CDB001,2021-05-01,2021-05-01 08:00:00,311.0,-118.0,193.0
CDB001,2021-05-01,2021-05-01 08:15:00,206.0,-134.0,72.0
CDB001,2021-05-01,2021-05-01 08:30:00,189.0,-146.0,43.0
CDB001,2021-05-01,2021-05-01 08:45:00,188.0,-161.0,28.0
CDB001,2021-05-01,2021-05-01 09:00:00,196.0,-187.0,9.0
CDB001,2021-05-01,2021-05-01 09:15:00,290.0,-210.0,80.0
CDB001,2021-05-01,2021-05-01 09:30:00,284.0,-275.0,8.0
CDB001,2021-05-01,2021-05-01 09:45:00,191.0,-299.0,-108.0
CDB001,2021-05-01,2021-05-01 10:00:00,183.0,-279.0,-96.0
CDB001,2021-05-01,2021-05-01 10:15:00,77.0,-319.0,-242.0
CDB001,2021-05-01,2021-05-01 10:30:00,247.0,-527.0,-281.0
CDB001,2021-05-01,2021-05-01 10:45:00,321.0,-657.0,-336.0
CDB001,2021-05-01,2021-05-01 11:00:00,371.0,-755.0,-384.0
CDB001,2021-05-01,2021-05-01 11:15:00,279.0,-1302.0,-1024.0
CDB001,2021-05-01,2021-05-01 11:30:00,81.0,-1023.0,-942.0
CDB001,2021-05-01,2021-05-01 11:45:00,160.0,-1264.0,-1104.0
CDB001,2021-05-01,2021-05-01 12:00:00,1055.0,-917.0,139.0
CDB001,2021-05-01,2021-05-01 12:15:00,267.0,-1189.0,-922.0
CDB001,2021-05-01,2021-05-01 12:30:00,251.0,-1428.0,-1178.0
CDB001,2021-05-01,2021-05-01 12:45:00,243.0,-1787.0,-1544.0
