home_id,day,ts,p_cons,p_prod,p_tot
CDB003,2022-05-01,2022-05-01 00:00:00,344.0,11.0,356.0
CDB003,2022-05-01,2022-05-01 00:15:00,329.0,11.0,341.0
CDB003,2022-05-01,2022-05-01 00:30:00,327.0,11.0,338.0
CDB003,2022-05-01,2022-05-01 00:45:00,366.0,11.0,378.0
CDB003,2022-05-01,2022-05-01 01:00:00,353.0,11.0,365.0
CDB003,2022-05-01,2022-05-01 01:15:00,320.0,11.0,332.0
CDB003,2022-05-01,2022-05-01 01:30:00,312.0,11.0,323.0
CDB003,2022-05-01,2022-05-01 01:45:00,305.0,11.0,317.0
CDB003,2022-05-01,2022-05-01 02:00:00,302.0,11.0,313.0
CDB003,2022-05-01,2022-05-01 02:15:00,303.0,11.0,315.0
CDB003,2022-05-01,2022-05-01 02:30:00,302.0,11.0,313.0
CDB003,2022-05-01,2022-05-01 02:45:00,299.0,11.0,310.0
CDB003,2022-05-01,2022-05-01 03:00:00,297.0,11.0,308.0
CDB003,2022-05-01,2022-05-01 03:15:00,302.0,11.0,313.0
CDB003,2022-05-01,2022-05-01 03:30:00,301.0,11.0,312.0
CDB003,2022-05-01,2022-05-01 03:45:00,300.0,11.0,312.0
CDB003,2022-05-01,2022-05-01 04:00:00,300.0,11.0,311.0
CDB003,2022-05-01,2022-05-01 04:15:00,393.0,11.0,405.0
CDB003,2022-05-01,2022-05-01 04:30:00,562.0,11.0,573.0
CDB003,2022-05-01,2022-05-01 04:45:00,531.0,11.0,543.0
CDB003,2022-05-01,2022-05-01 05:00:00,506.0,11.0,518.0
CDB003,2022-05-01,2022-05-01 05:15:00,501.0,11.0,513.0
CDB003,2022-05-01,2022-05-01 05:30:00,505.0,11.0,516.0
CDB003,2022-05-01,2022-05-01 05:45:00,500.0,11.0,511.0
CDB003,2022-05-01,2022-05-01 06:00:00,496.0,17.0,513.0
CDB003,2022-05-01,2022-05-01 06:15:00,484.0,9.0,493.0
CDB003,2022-05-01,2022-05-01 06:30:00,398.0,-39.0,360.0
CDB003,2022-05-01,2022-05-01 06:45:00,300.0,-164.0,135.0
CDB003,2022-05-01,2022-05-01 07:00:00,302.0,-327.0,-26.0
CDB003,2022-05-01,2022-05-01 07:15:00,298.0,-563.0,-265.0
CDB003,2022-05-01,2022-05-01 07:30:00,297.0,-890.0,-593.0
CDB003,2022-05-01,2022-05-01 07:45:00,301.0,-1237.0,-936.0
CDB003,2022-05-01,2022-05-01 08:00:00,306.0,-1879.0,-1573.0
CDB003,2022-05-01,2022-05-01 08:15:00,312.0,-2713.0,-2401.0
CDB003,2022-05-01,2022-05-01 08:30:00,310.0,-2806.0,-2496.0
CDB003,2022-05-01,2022-05-01 08:45:00,318.0,-3017.0,-2699.0
CDB003,2022-05-01,2022-05-01 09:00:00,306.0,-2605.0,-2299.0
CDB003,2022-05-01,2022-05-01 09:15:00,1452.0,-3362.0,-1909.0
CDB003,2022-05-01,2022-05-01 09:30:00,3629.0,-2864.0,766.0
CDB003,2022-05-01,2022-05-01 09:45:00,2928.0,-2934.0,-6.0
CDB003,2022-05-01,2022-05-01 10:00:00,2081.0,-2793.0,-712.0
CDB003,2022-05-01,2022-05-01 10:15:00,1660.0,-3036.0,-1376.0
CDB003,2022-05-01,2022-05-01 10:30:00,1611.0,-4017.0,-2406.0
CDB003,2022-05-01,2022-05-01 10:45:00,1455.0,-2962.0,-1507.0
CDB003,2022-05-01,2022-05-01 11:00:00,3824.0,-3832.0,-9.0
CDB003,2022-05-01,2022-05-01 11:15:00,3973.0,-2578.0,1394.0
CDB003,2022-05-01,2022-05-01 11:30:00,1227.0,-4312.0,-3086.0
CDB003,2022-05-01,2022-05-01 11:45:00,1573.0,-4389.0,-2816.0
CDB003,2022-05-01,2022-05-01 12:00:00,1267.0,-4392.0,-3125.0
CDB003,2022-05-01,2022-05-01 12:15:00,1543.0,-3393.0,-1849.0
CDB003,2022-05-01,2022-05-01 12:30:00,1372.0,-3007.0,-1635.0
CDB003,2022-05-01,2022-05-01 12:45:00,1552.0,-3905.0,-2353.0
CDB003,2022-05-01,2022-05-01 13:00:00,953.0,-3971.0,-3018.0
CDB003,2022-05-01,2022-05-01 13:15:00,675.0,-4156.0,-3481.0
CDB003,2022-05-01,2022-05-01 13:30:00,674.0,-4395.0,-3721.0
CDB003,2022-05-01,2022-05-01 13:45:00,547.0,-4383.0,-3836.0
CDB003,2022-05-01,2022-05-01 14:00:00,467.0,-4381.0,-3914.0
CDB003,2022-05-01,2022-05-01 14:15:00,512.0,-3106.0,-2594.0
CDB003,2022-05-01,2022-05-01 14:30:00,337.0,-2779.0,-2442.0
CDB003,2022-05-01,2022-05-01 14:45:00,340.0,-3690.0,-3350.0
CDB003,2022-05-01,2022-05-01 15:00:00,352.0,-4394.0,-4043.0
CDB003,2022-05-01,2022-05-01 15:15:00,490.0,-4356.0,-3866.0
CDB003,2022-05-01,2022-05-01 15:30:00,682.0,-3279.0,-2597.0
CDB003,2022-05-01,2022-05-01 15:45:00,622.0,-3686.0,-3064.0
CDB003,2022-05-01,2022-05-01 16:00:00,455.0,-2559.0,-2104.0
CDB003,2022-05-01,2022-05-01 16:15:00,404.0,-2230.0,-1827.0
CDB003,2022-05-01,2022-05-01 16:30:00,419.0,-3479.0,-3060.0
CDB003,2022-05-01,2022-05-01 16:45:00,346.0,-4330.0,-3983.0
CDB003,2022-05-01,2022-05-01 17:00:00,470.0,-3290.0,-2819.0
CDB003,2022-05-01,2022-05-01 17:15:00,396.0,-2827.0,-2431.0
CDB003,2022-05-01,2022-05-01 17:30:00,345.0,-3260.0,-2915.0
CDB003,2022-05-01,2022-05-01 17:45:00,3418.0,-2651.0,768.0
CDB003,2022-05-01,2022-05-01 18:00:00,1774.0,-1919.0,-146.0
CDB003,2022-05-01,2022-05-01 18:15:00,749.0,-1569.0,-820.0
CDB003,2022-05-01,2022-05-01 18:30:00,893.0,-1972.0,-1079.0
CDB003,2022-05-01,2022-05-01 18:45:00,534.0,-1519.0,-985.0
CDB003,2022-05-01,2022-05-01 19:00:00,608.0,-855.0,-247.0
CDB003,2022-05-01,2022-05-01 19:15:00,692.0,-470.0,222.0
CDB003,2022-05-01,2022-05-01 19:30:00,5703.0,-556.0,5147.0
CDB003,2022-05-01,2022-05-01 19:45:00,4227.0,-389.0,3838.0
CDB003,2022-05-01,2022-05-01 20:00:00,2551.0,-131.0,2420.0
CDB003,2022-05-01,2022-05-01 20:15:00,1282.0,-175.0,1107.0
CDB003,2022-05-01,2022-05-01 20:30:00,1908.0,-119.0,1789.0
CDB003,2022-05-01,2022-05-01 20:45:00,1657.0,-4.0,1653.0
CDB003,2022-05-01,2022-05-01 21:00:00,1003.0,17.0,1020.0
