home_id,day,ts,p_cons,p_prod,p_tot
CDB012,2021-03-01,2021-03-01 00:00:00,2056.0,1.0,2056.0
CDB012,2021-03-01,2021-03-01 00:15:00,2354.0,1.0,2354.0
CDB012,2021-03-01,2021-03-01 00:30:00,2712.0,1.0,2713.0
CDB012,2021-03-01,2021-03-01 00:45:00,3161.0,1.0,3162.0
CDB012,2021-03-01,2021-03-01 01:00:00,2498.0,1.0,2499.0
CDB012,2021-03-01,2021-03-01 01:15:00,1982.0,1.0,1983.0
CDB012,2021-03-01,2021-03-01 01:30:00,1925.0,1.0,1926.0
CDB012,2021-03-01,2021-03-01 01:45:00,2331.0,1.0,2331.0
CDB012,2021-03-01,2021-03-01 02:00:00,3367.0,1.0,3368.0
CDB012,2021-03-01,2021-03-01 02:15:00,2628.0,1.0,2629.0
CDB012,2021-03-01,2021-03-01 02:30:00,1987.0,1.0,1988.0
CDB012,2021-03-01,2021-03-01 02:45:00,1949.0,1.0,1950.0
CDB012,2021-03-01,2021-03-01 03:00:00,2450.0,1.0,2451.0
CDB012,2021-03-01,2021-03-01 03:15:00,2861.0,1.0,2862.0
CDB012,2021-03-01,2021-03-01 03:30:00,2214.0,1.0,2214.0
CDB012,2021-03-01,2021-03-01 03:45:00,2285.0,1.0,2286.0
CDB012,2021-03-01,2021-03-01 04:00:00,2373.0,1.0,2373.0
CDB012,2021-03-01,2021-03-01 04:15:00,3100.0,1.0,3101.0
CDB012,2021-03-01,2021-03-01 04:30:00,2912.0,1.0,2913.0
CDB012,2021-03-01,2021-03-01 04:45:00,2012.0,1.0,2013.0
CDB012,2021-03-01,2021-03-01 05:00:00,1989.0,1.0,1990.0
CDB012,2021-03-01,2021-03-01 05:15:00,2240.0,1.0,2240.0
CDB012,2021-03-01,2021-03-01 05:30:00,3399.0,1.0,3400.0
CDB012,2021-03-01,2021-03-01 05:45:00,2997.0,1.0,2998.0
CDB012,2021-03-01,2021-03-01 06:00:00,5134.0,2.0,5136.0
CDB012,2021-03-01,2021-03-01 06:15:00,5924.0,2.0,5925.0
CDB012,2021-03-01,2021-03-01 06:30:00,5959.0,2.0,5961.0
CDB012,2021-03-01,2021-03-01 06:45:00,5934.0,2.0,5936.0
CDB012,2021-03-01,2021-03-01 07:00:00,3456.0,1.0,3457.0
CDB012,2021-03-01,2021-03-01 07:15:00,3200.0,1.0,3201.0
CDB012,2021-03-01,2021-03-01 07:30:00,3176.0,1.0,3177.0
CDB012,2021-03-01,2021-03-01 07:45:00,3641.0,1.0,3642.0
CDB012,2021-03-01,2021-03-01 08:00:00,3519.0,1.0,3521.0
CDB012,2021-03-01,2021-03-01 08:15:00,2384.0,1.0,2385.0
CDB012,2021-03-01,2021-03-01 08:30:00,2709.0,1.0,2710.0
CDB012,2021-03-01,2021-03-01 08:45:00,3004.0,1.0,3005.0
CDB012,2021-03-01,2021-03-01 09:00:00,1614.0,1.0,1615.0
CDB012,2021-03-01,2021-03-01 09:15:00,1918.0,1.0,1919.0
CDB012,2021-03-01,2021-03-01 09:30:00,610.0,1.0,611.0
CDB012,2021-03-01,2021-03-01 09:45:00,3001.0,2.0,3003.0
CDB012,2021-03-01,2021-03-01 10:00:00,8888.0,4.0,8891.0
CDB012,2021-03-01,2021-03-01 10:15:00,2257.0,1.0,2258.0
CDB012,2021-03-01,2021-03-01 10:30:00,1886.0,1.0,1887.0
CDB012,2021-03-01,2021-03-01 10:45:00,1261.0,1.0,1262.0
CDB012,2021-03-01,2021-03-01 11:00:00,810.0,1.0,811.0
CDB012,2021-03-01,2021-03-01 11:15:00,723.0,1.0,724.0
CDB012,2021-03-01,2021-03-01 11:30:00,-187.0,1.0,-186.0
CDB012,2021-03-01,2021-03-01 11:45:00,-1417.0,1.0,-1415.0
CDB012,2021-03-01,2021-03-01 12:00:00,-2484.0,1.0,-2483.0
CDB012,2021-03-01,2021-03-01 12:15:00,-2679.0,1.0,-2678.0
CDB012,2021-03-01,2021-03-01 12:30:00,-1883.0,2.0,-1882.0
CDB012,2021-03-01,2021-03-01 12:45:00,-2572.0,1.0,-2571.0
