home_id,day,ts,p_cons,p_prod,p_tot
CDBA01,2022-05-01,2022-05-01 00:00:00,14.0,0.0,14.0
CDBA01,2022-05-01,2022-05-01 00:15:00,35.0,0.0,35.0
CDBA01,2022-05-01,2022-05-01 00:30:00,29.0,0.0,29.0
CDBA01,2022-05-01,2022-05-01 00:45:00,15.0,0.0,15.0
CDBA01,2022-05-01,2022-05-01 01:00:00,34.0,0.0,34.0
CDBA01,2022-05-01,2022-05-01 01:15:00,10.0,0.0,10.0
CDBA01,2022-05-01,2022-05-01 01:30:00,19.0,0.0,19.0
CDBA01,2022-05-01,2022-05-01 01:45:00,35.0,0.0,35.0
CDBA01,2022-05-01,2022-05-01 02:00:00,24.0,0.0,24.0
CDBA01,2022-05-01,2022-05-01 02:15:00,10.0,0.0,10.0
CDBA01,2022-05-01,2022-05-01 02:30:00,29.0,0.0,29.0
CDBA01,2022-05-01,2022-05-01 02:45:00,22.0,0.0,22.0
CDBA01,2022-05-01,2022-05-01 03:00:00,22.0,0.0,22.0
CDBA01,2022-05-01,2022-05-01 03:15:00,35.0,0.0,35.0
CDBA01,2022-05-01,2022-05-01 03:30:00,20.0,0.0,20.0
CDBA01,2022-05-01,2022-05-01 03:45:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 04:00:00,18.0,0.0,18.0
CDBA01,2022-05-01,2022-05-01 04:15:00,31.0,0.0,31.0
CDBA01,2022-05-01,2022-05-01 04:30:00,26.0,0.0,26.0
CDBA01,2022-05-01,2022-05-01 04:45:00,34.0,0.0,34.0
CDBA01,2022-05-01,2022-05-01 05:00:00,18.0,0.0,18.0
CDBA01,2022-05-01,2022-05-01 05:15:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 05:30:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 05:45:00,27.0,0.0,27.0
CDBA01,2022-05-01,2022-05-01 06:00:00,43.0,0.0,43.0
CDBA01,2022-05-01,2022-05-01 06:15:00,33.0,0.0,33.0
CDBA01,2022-05-01,2022-05-01 06:30:00,14.0,0.0,14.0
CDBA01,2022-05-01,2022-05-01 06:45:00,10.0,0.0,10.0
CDBA01,2022-05-01,2022-05-01 07:00:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 07:15:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 07:30:00,54.0,0.0,54.0
CDBA01,2022-05-01,2022-05-01 07:45:00,46.0,0.0,46.0
CDBA01,2022-05-01,2022-05-01 08:00:00,12.0,0.0,12.0
CDBA01,2022-05-01,2022-05-01 08:15:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 08:30:00,10.0,0.0,10.0
CDBA01,2022-05-01,2022-05-01 08:45:00,111.0,0.0,111.0
CDBA01,2022-05-01,2022-05-01 09:00:00,36.0,0.0,36.0
CDBA01,2022-05-01,2022-05-01 09:15:00,95.0,0.0,95.0
CDBA01,2022-05-01,2022-05-01 09:30:00,18.0,0.0,18.0
CDBA01,2022-05-01,2022-05-01 09:45:00,12.0,0.0,12.0
CDBA01,2022-05-01,2022-05-01 10:00:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 10:15:00,72.0,0.0,72.0
CDBA01,2022-05-01,2022-05-01 10:30:00,40.0,0.0,40.0
CDBA01,2022-05-01,2022-05-01 10:45:00,36.0,0.0,36.0
CDBA01,2022-05-01,2022-05-01 11:00:00,33.0,0.0,33.0
CDBA01,2022-05-01,2022-05-01 11:15:00,70.0,0.0,70.0
CDBA01,2022-05-01,2022-05-01 11:30:00,233.0,0.0,233.0
CDBA01,2022-05-01,2022-05-01 11:45:00,20.0,0.0,20.0
CDBA01,2022-05-01,2022-05-01 12:00:00,35.0,0.0,35.0
CDBA01,2022-05-01,2022-05-01 12:15:00,25.0,0.0,25.0
CDBA01,2022-05-01,2022-05-01 12:30:00,35.0,0.0,35.0
CDBA01,2022-05-01,2022-05-01 12:45:00,16.0,0.0,16.0
CDBA01,2022-05-01,2022-05-01 13:00:00,83.0,0.0,83.0
CDBA01,2022-05-01,2022-05-01 13:15:00,24.0,0.0,24.0
CDBA01,2022-05-01,2022-05-01 13:30:00,36.0,0.0,36.0
CDBA01,2022-05-01,2022-05-01 13:45:00,35.0,0.0,35.0
CDBA01,2022-05-01,2022-05-01 14:00:00,30.0,0.0,30.0
CDBA01,2022-05-01,2022-05-01 14:15:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 14:30:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 14:45:00,24.0,0.0,24.0
CDBA01,2022-05-01,2022-05-01 15:00:00,35.0,0.0,35.0
CDBA01,2022-05-01,2022-05-01 15:15:00,28.0,0.0,28.0
CDBA01,2022-05-01,2022-05-01 15:30:00,32.0,0.0,32.0
CDBA01,2022-05-01,2022-05-01 15:45:00,10.0,0.0,10.0
CDBA01,2022-05-01,2022-05-01 16:00:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 16:15:00,30.0,0.0,30.0
CDBA01,2022-05-01,2022-05-01 16:30:00,33.0,0.0,33.0
CDBA01,2022-05-01,2022-05-01 16:45:00,30.0,0.0,30.0
CDBA01,2022-05-01,2022-05-01 17:00:00,29.0,0.0,29.0
CDBA01,2022-05-01,2022-05-01 17:15:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 17:30:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 17:45:00,32.0,0.0,32.0
CDBA01,2022-05-01,2022-05-01 18:00:00,35.0,0.0,35.0
CDBA01,2022-05-01,2022-05-01 18:15:00,36.0,0.0,36.0
CDBA01,2022-05-01,2022-05-01 18:30:00,28.0,0.0,28.0
CDBA01,2022-05-01,2022-05-01 18:45:00,16.0,0.0,16.0
CDBA01,2022-05-01,2022-05-01 19:00:00,23.0,0.0,23.0
CDBA01,2022-05-01,2022-05-01 19:15:00,50.0,0.0,50.0
CDBA01,2022-05-01,2022-05-01 19:30:00,135.0,0.0,135.0
CDBA01,2022-05-01,2022-05-01 19:45:00,46.0,0.0,46.0
CDBA01,2022-05-01,2022-05-01 20:00:00,19.0,0.0,19.0
CDBA01,2022-05-01,2022-05-01 20:15:00,19.0,0.0,19.0
CDBA01,2022-05-01,2022-05-01 20:30:00,29.0,0.0,29.0
CDBA01,2022-05-01,2022-05-01 20:45:00,111.0,0.0,111.0
CDBA01,2022-05-01,2022-05-01 21:00:00,124.0,0.0,124.0
CDBA01,2022-05-01,2022-05-01 21:15:00,51.0,0.0,51.0
CDBA01,2022-05-01,2022-05-01 21:30:00,30.0,0.0,30.0
CDBA01,2022-05-01,2022-05-01 21:45:00,30.0,0.0,30.0
CDBA01,2022-05-01,2022-05-01 22:00:00,42.0,0.0,42.0
CDBA01,2022-05-01,2022-05-01 22:15:00,57.0,0.0,57.0
CDBA01,2022-05-01,2022-05-01 22:30:00,55.0,0.0,55.0
CDBA01,2022-05-01,2022-05-01 22:45:00,44.0,0.0,44.0
CDBA01,2022-05-01,2022-05-01 23:00:00,12.0,0.0,12.0
CDBA01,2022-05-01,2022-05-01 23:15:00,9.0,0.0,9.0
CDBA01,2022-05-01,2022-05-01 23:30:00,25.0,0.0,25.0
