home_id,day,ts,p_cons,p_prod,p_tot
CDBA02,2021-04-01,2021-04-01 00:00:00,7591.0,22.0,7613.0
CDBA02,2021-04-01,2021-04-01 00:15:00,6110.0,22.0,6132.0
CDBA02,2021-04-01,2021-04-01 00:30:00,2850.0,22.0,2873.0
CDBA02,2021-04-01,2021-04-01 00:45:00,2419.0,22.0,2441.0
CDBA02,2021-04-01,2021-04-01 01:00:00,2559.0,22.0,2581.0
CDBA02,2021-04-01,2021-04-01 01:15:00,2682.0,22.0,2704.0
CDBA02,2021-04-01,2021-04-01 01:30:00,2613.0,22.0,2635.0
CDBA02,2021-04-01,2021-04-01 01:45:00,2551.0,22.0,2573.0
CDBA02,2021-04-01,2021-04-01 02:00:00,2910.0,22.0,2932.0
CDBA02,2021-04-01,2021-04-01 02:15:00,3546.0,23.0,3568.0
CDBA02,2021-04-01,2021-04-01 02:30:00,3615.0,23.0,3638.0
CDBA02,2021-04-01,2021-04-01 02:45:00,5062.0,23.0,5085.0
CDBA02,2021-04-01,2021-04-01 03:00:00,4639.0,23.0,4662.0
CDBA02,2021-04-01,2021-04-01 03:15:00,4539.0,23.0,4562.0
CDBA02,2021-04-01,2021-04-01 03:30:00,4387.0,23.0,4410.0
CDBA02,2021-04-01,2021-04-01 03:45:00,5162.0,23.0,5186.0
CDBA02,2021-04-01,2021-04-01 04:00:00,5211.0,23.0,5234.0
CDBA02,2021-04-01,2021-04-01 04:15:00,3881.0,23.0,3903.0
CDBA02,2021-04-01,2021-04-01 04:30:00,3568.0,23.0,3591.0
CDBA02,2021-04-01,2021-04-01 04:45:00,3837.0,23.0,3859.0
CDBA02,2021-04-01,2021-04-01 05:00:00,4239.0,23.0,4262.0
CDBA02,2021-04-01,2021-04-01 05:15:00,4734.0,23.0,4757.0
CDBA02,2021-04-01,2021-04-01 05:30:00,3532.0,22.0,3555.0
CDBA02,2021-04-01,2021-04-01 05:45:00,3578.0,22.0,3601.0
CDBA02,2021-04-01,2021-04-01 06:00:00,3813.0,22.0,3835.0
CDBA02,2021-04-01,2021-04-01 06:15:00,6217.0,23.0,6240.0
CDBA02,2021-04-01,2021-04-01 06:30:00,3800.0,23.0,3823.0
CDBA02,2021-04-01,2021-04-01 06:45:00,3040.0,22.0,3062.0
CDBA02,2021-04-01,2021-04-01 07:00:00,3451.0,23.0,3474.0
CDBA02,2021-04-01,2021-04-01 07:15:00,3607.0,28.0,3634.0
CDBA02,2021-04-01,2021-04-01 07:30:00,7346.0,-32.0,7314.0
CDBA02,2021-04-01,2021-04-01 07:45:00,9073.0,-218.0,8855.0
CDBA02,2021-04-01,2021-04-01 08:00:00,7824.0,-540.0,7284.0
CDBA02,2021-04-01,2021-04-01 08:15:00,10409.0,-872.0,9537.0
CDBA02,2021-04-01,2021-04-01 08:30:00,12167.0,-1380.0,10788.0
CDBA02,2021-04-01,2021-04-01 08:45:00,12128.0,-1984.0,10143.0
CDBA02,2021-04-01,2021-04-01 09:00:00,11684.0,-2289.0,9395.0
CDBA02,2021-04-01,2021-04-01 09:15:00,11943.0,-2833.0,9110.0
CDBA02,2021-04-01,2021-04-01 09:30:00,11899.0,-3270.0,8629.0
CDBA02,2021-04-01,2021-04-01 09:45:00,13466.0,-3726.0,9740.0
CDBA02,2021-04-01,2021-04-01 10:00:00,12820.0,-4487.0,8333.0
CDBA02,2021-04-01,2021-04-01 10:15:00,8857.0,-5197.0,3660.0
CDBA02,2021-04-01,2021-04-01 10:30:00,7528.0,-5860.0,1668.0
CDBA02,2021-04-01,2021-04-01 10:45:00,7197.0,-5660.0,1537.0
CDBA02,2021-04-01,2021-04-01 11:00:00,7285.0,-6202.0,1083.0
CDBA02,2021-04-01,2021-04-01 11:15:00,7367.0,-7233.0,134.0
CDBA02,2021-04-01,2021-04-01 11:30:00,2816.0,-8371.0,-5555.0
CDBA02,2021-04-01,2021-04-01 11:45:00,2689.0,-9229.0,-6539.0
CDBA02,2021-04-01,2021-04-01 12:00:00,9222.0,-9734.0,-512.0
CDBA02,2021-04-01,2021-04-01 12:15:00,6645.0,-11070.0,-4425.0
CDBA02,2021-04-01,2021-04-01 12:30:00,2992.0,-11789.0,-8797.0
CDBA02,2021-04-01,2021-04-01 12:45:00,2438.0,-12378.0,-9940.0
CDBA02,2021-04-01,2021-04-01 13:00:00,5364.0,-12912.0,-7548.0
CDBA02,2021-04-01,2021-04-01 13:15:00,4067.0,-13389.0,-9322.0
CDBA02,2021-04-01,2021-04-01 13:30:00,3470.0,-13652.0,-10183.0
CDBA02,2021-04-01,2021-04-01 13:45:00,4646.0,-14158.0,-9512.0
CDBA02,2021-04-01,2021-04-01 14:00:00,2326.0,-14139.0,-11813.0
CDBA02,2021-04-01,2021-04-01 14:15:00,5751.0,-14280.0,-8529.0
CDBA02,2021-04-01,2021-04-01 14:30:00,6008.0,-14630.0,-8622.0
CDBA02,2021-04-01,2021-04-01 14:45:00,3227.0,-14480.0,-11253.0
CDBA02,2021-04-01,2021-04-01 15:00:00,-2657.0,-14320.0,-16976.0
CDBA02,2021-04-01,2021-04-01 15:15:00,-3161.0,-14171.0,-17331.0
CDBA02,2021-04-01,2021-04-01 15:30:00,-3194.0,-14016.0,-17210.0
CDBA02,2021-04-01,2021-04-01 15:45:00,-392.0,-13816.0,-14208.0
CDBA02,2021-04-01,2021-04-01 16:00:00,375.0,-12884.0,-12508.0
CDBA02,2021-04-01,2021-04-01 16:15:00,-1384.0,-13740.0,-15124.0
CDBA02,2021-04-01,2021-04-01 16:30:00,-918.0,-13674.0,-14592.0
CDBA02,2021-04-01,2021-04-01 16:45:00,4825.0,-13285.0,-8460.0
CDBA02,2021-04-01,2021-04-01 17:00:00,-40.0,-12852.0,-12892.0
CDBA02,2021-04-01,2021-04-01 17:15:00,779.0,-12134.0,-11355.0
