home_id,day,ts,p_cons,p_prod,p_tot
ECHL07,2022-08-01,2022-08-01 00:00:00,77.0,0.0,77.0
ECHL07,2022-08-01,2022-08-01 00:15:00,28.0,0.0,28.0
ECHL07,2022-08-01,2022-08-01 00:30:00,126.0,0.0,126.0
ECHL07,2022-08-01,2022-08-01 00:45:00,163.0,0.0,163.0
ECHL07,2022-08-01,2022-08-01 01:00:00,94.0,0.0,94.0
ECHL07,2022-08-01,2022-08-01 01:15:00,28.0,0.0,28.0
ECHL07,2022-08-01,2022-08-01 01:30:00,53.0,0.0,53.0
ECHL07,2022-08-01,2022-08-01 01:45:00,170.0,0.0,170.0
ECHL07,2022-08-01,2022-08-01 02:00:00,151.0,0.0,151.0
ECHL07,2022-08-01,2022-08-01 02:15:00,28.0,0.0,28.0
ECHL07,2022-08-01,2022-08-01 02:30:00,28.0,0.0,28.0
ECHL07,2022-08-01,2022-08-01 02:45:00,118.0,0.0,118.0
ECHL07,2022-08-01,2022-08-01 03:00:00,165.0,0.0,165.0
ECHL07,2022-08-01,2022-08-01 03:15:00,97.0,0.0,97.0
ECHL07,2022-08-01,2022-08-01 03:30:00,28.0,0.0,28.0
ECHL07,2022-08-01,2022-08-01 03:45:00,31.0,0.0,31.0
ECHL07,2022-08-01,2022-08-01 04:00:00,169.0,0.0,169.0
ECHL07,2022-08-01,2022-08-01 04:15:00,163.0,0.0,163.0
ECHL07,2022-08-01,2022-08-01 04:30:00,44.0,0.0,44.0
ECHL07,2022-08-01,2022-08-01 04:45:00,28.0,0.0,28.0
ECHL07,2022-08-01,2022-08-01 05:00:00,84.0,0.0,84.0
ECHL07,2022-08-01,2022-08-01 05:15:00,167.0,0.0,167.0
ECHL07,2022-08-01,2022-08-01 05:30:00,115.0,0.0,115.0
ECHL07,2022-08-01,2022-08-01 05:45:00,28.0,0.0,28.0
ECHL07,2022-08-01,2022-08-01 06:00:00,28.0,0.0,28.0
ECHL07,2022-08-01,2022-08-01 06:15:00,138.0,0.0,138.0
ECHL07,2022-08-01,2022-08-01 06:30:00,164.0,0.0,164.0
ECHL07,2022-08-01,2022-08-01 06:45:00,70.0,0.0,70.0
ECHL07,2022-08-01,2022-08-01 07:00:00,28.0,0.0,28.0
ECHL07,2022-08-01,2022-08-01 07:15:00,32.0,0.0,32.0
ECHL07,2022-08-01,2022-08-01 07:30:00,174.0,0.0,174.0
ECHL07,2022-08-01,2022-08-01 07:45:00,163.0,0.0,163.0
ECHL07,2022-08-01,2022-08-01 08:00:00,37.0,0.0,37.0
ECHL07,2022-08-01,2022-08-01 08:15:00,27.0,0.0,27.0
ECHL07,2022-08-01,2022-08-01 08:30:00,77.0,0.0,77.0
ECHL07,2022-08-01,2022-08-01 08:45:00,190.0,0.0,190.0
ECHL07,2022-08-01,2022-08-01 09:00:00,185.0,0.0,185.0
ECHL07,2022-08-01,2022-08-01 09:15:00,80.0,0.0,80.0
ECHL07,2022-08-01,2022-08-01 09:30:00,217.0,0.0,217.0
ECHL07,2022-08-01,2022-08-01 09:45:00,250.0,0.0,250.0
ECHL07,2022-08-01,2022-08-01 10:00:00,267.0,0.0,267.0
ECHL07,2022-08-01,2022-08-01 10:15:00,265.0,0.0,265.0
ECHL07,2022-08-01,2022-08-01 10:30:00,144.0,0.0,144.0
ECHL07,2022-08-01,2022-08-01 10:45:00,203.0,0.0,203.0
ECHL07,2022-08-01,2022-08-01 11:00:00,272.0,0.0,272.0
ECHL07,2022-08-01,2022-08-01 11:15:00,234.0,0.0,234.0
ECHL07,2022-08-01,2022-08-01 11:30:00,203.0,0.0,203.0
ECHL07,2022-08-01,2022-08-01 11:45:00,176.0,0.0,176.0
ECHL07,2022-08-01,2022-08-01 12:00:00,145.0,0.0,145.0
ECHL07,2022-08-01,2022-08-01 12:15:00,271.0,0.0,271.0
ECHL07,2022-08-01,2022-08-01 12:30:00,393.0,0.0,393.0
ECHL07,2022-08-01,2022-08-01 12:45:00,269.0,0.0,269.0
