home_id,day,ts,p_cons,p_prod,p_tot
ECHL12,2022-08-01,2022-08-01 00:00:00,205.0,0.0,205.0
ECHL12,2022-08-01,2022-08-01 00:15:00,237.0,0.0,237.0
ECHL12,2022-08-01,2022-08-01 00:30:00,227.0,0.0,227.0
ECHL12,2022-08-01,2022-08-01 00:45:00,198.0,0.0,198.0
ECHL12,2022-08-01,2022-08-01 01:00:00,184.0,0.0,184.0
ECHL12,2022-08-01,2022-08-01 01:15:00,182.0,0.0,182.0
ECHL12,2022-08-01,2022-08-01 01:30:00,189.0,0.0,189.0
ECHL12,2022-08-01,2022-08-01 01:45:00,148.0,0.0,148.0
ECHL12,2022-08-01,2022-08-01 02:00:00,155.0,0.0,155.0
ECHL12,2022-08-01,2022-08-01 02:15:00,128.0,0.0,128.0
ECHL12,2022-08-01,2022-08-01 02:30:00,178.0,0.0,178.0
ECHL12,2022-08-01,2022-08-01 02:45:00,170.0,0.0,170.0
ECHL12,2022-08-01,2022-08-01 03:00:00,113.0,0.0,113.0
ECHL12,2022-08-01,2022-08-01 03:15:00,145.0,0.0,145.0
ECHL12,2022-08-01,2022-08-01 03:30:00,168.0,0.0,168.0
ECHL12,2022-08-01,2022-08-01 03:45:00,181.0,0.0,181.0
ECHL12,2022-08-01,2022-08-01 04:00:00,122.0,0.0,122.0
ECHL12,2022-08-01,2022-08-01 04:15:00,155.0,0.0,155.0
ECHL12,2022-08-01,2022-08-01 04:30:00,139.0,0.0,139.0
ECHL12,2022-08-01,2022-08-01 04:45:00,205.0,0.0,205.0
ECHL12,2022-08-01,2022-08-01 05:00:00,144.0,0.0,144.0
ECHL12,2022-08-01,2022-08-01 05:15:00,102.0,0.0,102.0
ECHL12,2022-08-01,2022-08-01 05:30:00,140.0,0.0,140.0
ECHL12,2022-08-01,2022-08-01 05:45:00,184.0,0.0,184.0
ECHL12,2022-08-01,2022-08-01 06:00:00,166.0,0.0,166.0
ECHL12,2022-08-01,2022-08-01 06:15:00,76.0,0.0,76.0
ECHL12,2022-08-01,2022-08-01 06:30:00,139.0,0.0,139.0
ECHL12,2022-08-01,2022-08-01 06:45:00,157.0,0.0,157.0
ECHL12,2022-08-01,2022-08-01 07:00:00,199.0,0.0,199.0
ECHL12,2022-08-01,2022-08-01 07:15:00,114.0,0.0,114.0
ECHL12,2022-08-01,2022-08-01 07:30:00,93.0,0.0,93.0
ECHL12,2022-08-01,2022-08-01 07:45:00,148.0,0.0,148.0
ECHL12,2022-08-01,2022-08-01 08:00:00,225.0,0.0,225.0
ECHL12,2022-08-01,2022-08-01 08:15:00,170.0,0.0,170.0
ECHL12,2022-08-01,2022-08-01 08:30:00,64.0,0.0,64.0
ECHL12,2022-08-01,2022-08-01 08:45:00,133.0,0.0,133.0
ECHL12,2022-08-01,2022-08-01 09:00:00,186.0,0.0,186.0
ECHL12,2022-08-01,2022-08-01 09:15:00,218.0,0.0,218.0
ECHL12,2022-08-01,2022-08-01 09:30:00,148.0,0.0,148.0
ECHL12,2022-08-01,2022-08-01 09:45:00,131.0,0.0,131.0
ECHL12,2022-08-01,2022-08-01 10:00:00,256.0,0.0,256.0
ECHL12,2022-08-01,2022-08-01 10:15:00,319.0,0.0,319.0
ECHL12,2022-08-01,2022-08-01 10:30:00,231.0,0.0,231.0
ECHL12,2022-08-01,2022-08-01 10:45:00,142.0,0.0,142.0
ECHL12,2022-08-01,2022-08-01 11:00:00,184.0,0.0,184.0
ECHL12,2022-08-01,2022-08-01 11:15:00,146.0,0.0,146.0
ECHL12,2022-08-01,2022-08-01 11:30:00,252.0,0.0,252.0
ECHL12,2022-08-01,2022-08-01 11:45:00,131.0,0.0,131.0
ECHL12,2022-08-01,2022-08-01 12:00:00,143.0,0.0,143.0
ECHL12,2022-08-01,2022-08-01 12:15:00,130.0,0.0,130.0
ECHL12,2022-08-01,2022-08-01 12:30:00,199.0,0.0,199.0
ECHL12,2022-08-01,2022-08-01 12:45:00,237.0,0.0,237.0
ECHL12,2022-08-01,2022-08-01 13:00:00,156.0,0.0,156.0
ECHL12,2022-08-01,2022-08-01 13:15:00,882.0,0.0,882.0
ECHL12,2022-08-01,2022-08-01 13:30:00,1138.0,0.0,1138.0
ECHL12,2022-08-01,2022-08-01 13:45:00,237.0,0.0,237.0
ECHL12,2022-08-01,2022-08-01 14:00:00,115.0,0.0,115.0
ECHL12,2022-08-01,2022-08-01 14:15:00,165.0,0.0,165.0
ECHL12,2022-08-01,2022-08-01 14:30:00,223.0,0.0,223.0
ECHL12,2022-08-01,2022-08-01 14:45:00,192.0,0.0,192.0
ECHL12,2022-08-01,2022-08-01 15:00:00,100.0,0.0,100.0
ECHL12,2022-08-01,2022-08-01 15:15:00,46.0,0.0,46.0
ECHL12,2022-08-01,2022-08-01 15:30:00,130.0,0.0,130.0
ECHL12,2022-08-01,2022-08-01 15:45:00,227.0,0.0,227.0
ECHL12,2022-08-01,2022-08-01 16:00:00,185.0,0.0,185.0
ECHL12,2022-08-01,2022-08-01 16:15:00,45.0,0.0,45.0
ECHL12,2022-08-01,2022-08-01 16:30:00,52.0,0.0,52.0
ECHL12,2022-08-01,2022-08-01 16:45:00,196.0,0.0,196.0
ECHL12,2022-08-01,2022-08-01 17:00:00,224.0,0.0,224.0
ECHL12,2022-08-01,2022-08-01 17:15:00,113.0,0.0,113.0
ECHL12,2022-08-01,2022-08-01 17:30:00,45.0,0.0,45.0
ECHL12,2022-08-01,2022-08-01 17:45:00,51.0,0.0,51.0
ECHL12,2022-08-01,2022-08-01 18:00:00,244.0,0.0,244.0
ECHL12,2022-08-01,2022-08-01 18:15:00,213.0,0.0,213.0
ECHL12,2022-08-01,2022-08-01 18:30:00,85.0,0.0,85.0
ECHL12,2022-08-01,2022-08-01 18:45:00,92.0,0.0,92.0
ECHL12,2022-08-01,2022-08-01 19:00:00,212.0,0.0,212.0
ECHL12,2022-08-01,2022-08-01 19:15:00,267.0,0.0,267.0
ECHL12,2022-08-01,2022-08-01 19:30:00,190.0,0.0,190.0
ECHL12,2022-08-01,2022-08-01 19:45:00,123.0,0.0,123.0
ECHL12,2022-08-01,2022-08-01 20:00:00,148.0,0.0,148.0
ECHL12,2022-08-01,2022-08-01 20:15:00,243.0,0.0,243.0
ECHL12,2022-08-01,2022-08-01 20:30:00,248.0,0.0,248.0
ECHL12,2022-08-01,2022-08-01 20:45:00,136.0,0.0,136.0
ECHL12,2022-08-01,2022-08-01 21:00:00,143.0,0.0,143.0
ECHL12,2022-08-01,2022-08-01 21:15:00,204.0,0.0,204.0
ECHL12,2022-08-01,2022-08-01 21:30:00,293.0,0.0,293.0
ECHL12,2022-08-01,2022-08-01 21:45:00,251.0,0.0,251.0
ECHL12,2022-08-01,2022-08-01 22:00:00,184.0,0.0,184.0
ECHL12,2022-08-01,2022-08-01 22:15:00,162.0,0.0,162.0
ECHL12,2022-08-01,2022-08-01 22:30:00,176.0,0.0,176.0
ECHL12,2022-08-01,2022-08-01 22:45:00,153.0,0.0,153.0
ECHL12,2022-08-01,2022-08-01 23:00:00,119.0,0.0,119.0
