ip,day,ts,active,apparent,cos_phi,reactive,tension1_2,tension2_3,tension3_1
192.168.0.4,2022-10-04,2022-10-04 18:00:00+02:00,170680.0,172280.0,-0.9938,-11320.0,236.28,235.98,236.61
192.168.0.4,2022-10-04,2022-10-04 19:00:00+02:00,168500.0,169756.0,-0.9929,-11256.0,235.921,235.768,236.07
192.168.0.4,2022-10-04,2022-10-04 20:00:00+02:00,156869.0,158697.0,-0.9894,-15771.0,237.1186,237.0871,237.4014
192.168.0.4,2022-10-05,2022-10-05 10:00:00+02:00,104889.0,107396.0,-0.9803,-13729.0,236.6189,236.3289,236.3022
192.168.0.4,2022-10-05,2022-10-05 11:00:00+02:00,89387.0,91620.0,-0.9755,-13467.0,237.0967,236.75,236.9817
192.168.0.4,2022-10-05,2022-10-05 12:00:00+02:00,65476.0,67698.0,-0.9438,-13120.0,238.6267,238.4411,238.75
192.168.0.4,2022-10-05,2022-10-05 13:00:00+02:00,65880.0,70537.0,-0.9454,-13223.0,238.8171,238.6314,238.9328
192.168.0.4,2022-10-05,2022-10-05 14:00:00+02:00,56735.0,60545.0,-0.9239,-13015.0,239.0791,238.8409,239.0218
192.168.0.4,2022-10-05,2022-10-05 15:00:00+02:00,67700.0,71547.0,-0.9591,-13600.0,239.4233,239.18,239.3317
192.168.0.4,2022-10-05,2022-10-05 16:00:00+02:00,91713.0,95093.0,-0.9712,-15860.0,239.2633,238.8417,239.2883
192.168.0.4,2022-10-05,2022-10-05 17:00:00+02:00,111915.0,113055.0,-0.9809,-14420.0,238.565,238.1437,238.5325
192.168.0.4,2022-10-05,2022-10-05 18:00:00+02:00,147988.0,148292.0,-0.9898,-10468.0,237.481,237.294,237.533
192.168.0.4,2022-10-05,2022-10-05 19:00:00+02:00,158613.0,160333.0,-0.9905,-13089.0,236.7356,236.31,236.8456
192.168.0.4,2022-10-05,2022-10-05 20:00:00+02:00,145648.0,148568.0,-0.9881,-15348.0,238.228,237.82,238.278
